canonical,aliases,meaning,partOfSpeech,domain,level,example,sourceTag,reviewStatus
meeyam,miyam|meeyum,people / public,noun,governance,formal,Meeyam-na standard lougani.,mayekama-build8-candidate,needs_review
mapu,,owner / lord / main person,noun,daily,chat,Mapu-na approve tou-i.,mayekama-build8-candidate,needs_review
macha,,child / small one,noun,family,chat,Macha school-da chatli.,mayekama-build8-candidate,needs_review
machanupa,macha-nupa,boy,noun,family,chat,Machanupa school-da chatli.,mayekama-build8-candidate,needs_review
machanupi,macha-nupi,girl,noun,family,chat,Machanupi school-da chatli.,mayekama-build8-candidate,needs_review
imung,eemung,family,noun,family,chat,Imung-da keyboard sijinnagani.,mayekama-build8-candidate,needs_review
marup,maroop,friend,noun,daily,chat,Marup-da message puthok-i.,mayekama-build8-candidate,needs_review
khongchat,khong-chat,journey / travel,noun,daily,chat,Khongchat pao i.,mayekama-build8-candidate,needs_review
leipak,,land / country,noun,place,formal,Leipak-gi wahei standard.,mayekama-build8-candidate,needs_review
lam,,place / area,noun,place,chat,Lam asi mapanda leiri.,mayekama-build8-candidate,needs_review
lambi,lampi,road,noun,place,chat,Lambi-da mee yamna leiri.,mayekama-build8-candidate,needs_review
sahor,sahar,city,noun,place,chat,Imphal sahor-da leiri.,mayekama-build8-candidate,needs_review
keithel,keithal,market,noun,place,chat,Keithel-da chatli.,mayekama-build8-candidate,needs_review
hospital,hospitel,hospital,noun,place,chat,Hospital-da chatpa matam.,mayekama-build8-candidate,needs_review
office,ofis,office,noun,place,chat,Office-da meeting leiri.,mayekama-build8-candidate,needs_review
class,klas,class,noun,school,chat,Class-da teacher leiri.,mayekama-build8-candidate,needs_review
lesson,leson,lesson,noun,school,formal,Lesson asi MayekAma-da i.,mayekama-build8-candidate,needs_review
exam,igjam|egjam,exam,noun,school,chat,Exam matam leiri.,mayekama-build8-candidate,needs_review
homework,homwork,homework,noun,school,chat,Homework asi writer-da i.,mayekama-build8-candidate,needs_review
subject,sabjek,subject,noun,school,formal,Subject-wise word list semgat-i.,mayekama-build8-candidate,needs_review
chapter-sing,chapters,chapters,noun,writing,formal,Chapter-sing save tou-i.,mayekama-build8-candidate,needs_review
wareng,,story / prose,noun,writing,editorial,Wareng ama i.,mayekama-build8-candidate,needs_review
seireng,,poem,noun,writing,editorial,Seireng ama i.,mayekama-build8-candidate,needs_review
wari,,story / tale,noun,writing,editorial,Wari ama piba yare.,mayekama-build8-candidate,needs_review
paoche,,newspaper,noun,writing,editorial,Paoche article normalise tou-i.,mayekama-build8-candidate,needs_review
paominasi,pao-minasi,headline,noun,writing,editorial,Paominasi standard check tou-i.,mayekama-build8-candidate,needs_review
paragraph-sing,paragraphs,paragraphs,noun,writing,formal,Paragraph-sing export tou-i.,mayekama-build8-candidate,needs_review
manuscript,manuskrip,manuscript,noun,writing,formal,Manuscript check tou-i.,mayekama-build8-candidate,needs_review
draft,draf,draft,noun,writing,formal,AI draft review tou-i.,mayekama-build8-candidate,needs_review
copy,kopi,copy,verb,technology,chat,Output copy tou-i.,mayekama-build8-candidate,needs_review
paste,pest,paste,verb,technology,chat,Text paste tou-i.,mayekama-build8-candidate,needs_review
save,sev,save,verb,technology,chat,Document save tou-i.,mayekama-build8-candidate,needs_review
export,ekspot,export,verb,technology,formal,Book export tou-i.,mayekama-build8-candidate,needs_review
sync,sink,sync,verb,technology,formal,Dictionary sync tou-i.,mayekama-build8-candidate,needs_review
backup,bekap,backup,noun,technology,formal,Personal dictionary backup optional ni.,mayekama-build8-candidate,needs_review
server,sarvar,server,noun,technology,formal,Server-da approved update leigani.,mayekama-build8-candidate,needs_review
local,lokal,local,adjective,technology,formal,Local prediction run tou-i.,mayekama-build8-candidate,needs_review
private,praivet,private,adjective,technology,formal,Private chat upload toude.,mayekama-build8-candidate,needs_review
secure,sikur,secure,adjective,technology,formal,Secure update download tou-i.,mayekama-build8-candidate,needs_review
admin,edmin,admin,noun,governance,formal,Admin-na review tou-i.,mayekama-build8-candidate,needs_review
reviewer,rivuar,reviewer,noun,governance,formal,Reviewer-na source check tou-i.,mayekama-build8-candidate,needs_review
contributor,kontributor,contributor,noun,governance,formal,Contributor-na word submit tou-i.,mayekama-build8-candidate,needs_review
submission,sabmison,submission,noun,governance,formal,Submission pending oigani.,mayekama-build8-candidate,needs_review
pending,,pending,adjective,governance,formal,Pending word reject natte.,mayekama-build8-candidate,needs_review
rejected,rejekted,rejected,adjective,governance,formal,Duplicate word rejected oigani.,mayekama-build8-candidate,needs_review
approved,apruvd,approved,adjective,governance,formal,Approved word pack-da chang-i.,mayekama-build8-candidate,needs_review
published,pablish,published,adjective,writing,formal,Published release version leiri.,mayekama-build8-candidate,needs_review
citation,saitason,citation,noun,governance,formal,Citation leirabadi source clean oigani.,mayekama-build8-candidate,needs_review
attribution,atribyuson,attribution,noun,governance,formal,Attribution pi-u.,mayekama-build8-candidate,needs_review
copyright,kopirait,copyright,noun,governance,formal,Copyright clear natte oirabadi import toude.,mayekama-build8-candidate,needs_review
permission,parmisin,permission,noun,governance,formal,Permission phanglabadi import tou-i.,mayekama-build8-candidate,needs_review
licensing,laisensing,licensing,noun,governance,formal,Licensing status check tou-i.,mayekama-build8-candidate,needs_review
corpus,korpus,corpus,noun,governance,formal,Corpus-na frequency ranking piba yare.,mayekama-build8-candidate,needs_review
frequency,frikwensi,frequency,noun,governance,formal,Frequency score update tou-i.,mayekama-build8-candidate,needs_review
variant,veriant,variant,noun,governance,formal,Variant alias oina thambigani.,mayekama-build8-candidate,needs_review
synonym,sinonim,synonym,noun,writing,formal,Synonym table later leigani.,mayekama-build8-candidate,needs_review
terminology,terminoloji,terminology,noun,writing,formal,Government terminology pack later leigani.,mayekama-build8-candidate,needs_review
