canonical,aliases,meaning,partOfSpeech,domain,level,example,sourceTag,reviewStatus
grade,,grade,noun,education-writing,formal,grade asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
poetry,,poetry,noun,education-writing,formal,poetry asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
notebook,,notebook,noun,education-writing,formal,notebook asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
pen,,pen,noun,education-writing,formal,pen asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
pencil,,pencil,noun,education-writing,formal,pencil asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
paper,,paper,noun,education-writing,formal,paper asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
page,,page,noun,education-writing,formal,page asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
subtitle,,subtitle,noun,education-writing,formal,subtitle asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
final,,final,noun,education-writing,formal,final asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
reader,,reader,noun,education-writing,formal,reader asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
reading,,reading,noun,education-writing,formal,reading asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
writing,,writing,noun,education-writing,formal,writing asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
explanation,,explanation,noun,education-writing,formal,explanation asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
circular,,circular,noun,education-writing,formal,circular asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
syllabus,,syllabus,noun,education-writing,formal,syllabus asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
timetable,,timetable,noun,education-writing,formal,timetable asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
admission,,admission,noun,education-writing,formal,admission asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
certificate,,certificate,noun,education-writing,formal,certificate asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
scholarship,,scholarship,noun,education-writing,formal,scholarship asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
tuition,,tuition,noun,education-writing,formal,tuition asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
hostel,,hostel,noun,education-writing,formal,hostel asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
uniform,,uniform,noun,education-writing,formal,uniform asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
attendance,,attendance,noun,education-writing,formal,attendance asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
lecture,,lecture,noun,education-writing,formal,lecture asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
period,,period,noun,education-writing,formal,period asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
project,,project,noun,education-writing,formal,project asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
practical,,practical,noun,education-writing,formal,practical asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
viva,,viva,noun,education-writing,formal,viva asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
form,,form,noun,education-writing,formal,form asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
research,,research,noun,education-writing,formal,research asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
thesis,,thesis,noun,education-writing,formal,thesis asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
roman,,roman,noun,education-writing,formal,roman asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
manipuri,,manipuri,noun,education-writing,formal,manipuri asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
meitei,,meitei,noun,education-writing,formal,meitei asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
latin,,latin,noun,education-writing,formal,latin asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
script,,script,noun,education-writing,formal,script asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
translation,,translation,noun,education-writing,formal,translation asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
transliteration,,transliteration,noun,education-writing,formal,transliteration asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
normalisation,,normalisation,noun,education-writing,formal,normalisation asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
normalization,,normalization,noun,education-writing,formal,normalization asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
proofreading,,proofreading,noun,education-writing,formal,proofreading asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
footnote,,footnote,noun,education-writing,formal,footnote asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
glossary,,glossary,noun,education-writing,formal,glossary asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
vocabulary,,vocabulary,noun,education-writing,formal,vocabulary asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
paragraphing,,paragraphing,noun,education-writing,formal,paragraphing asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
headline,,headline,noun,education-writing,formal,headline asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
subhead,,subhead,noun,education-writing,formal,subhead asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
archive,,archive,noun,education-writing,formal,archive asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
novel,,novel,noun,education-writing,formal,novel asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
biography,,biography,noun,education-writing,formal,biography asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
culture,,culture,noun,education-writing,formal,culture asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
literature,,literature,noun,education-writing,formal,literature asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
newspaper,,newspaper,noun,education-writing,formal,newspaper asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
magazine,,magazine,noun,education-writing,formal,magazine asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
journal,,journal,noun,education-writing,formal,journal asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
speech,,speech,noun,education-writing,formal,speech asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
debate,,debate,noun,education-writing,formal,debate asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
seminar,,seminar,noun,education-writing,formal,seminar asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
workshop,,workshop,noun,education-writing,formal,workshop asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
training,,training,noun,education-writing,formal,training asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
contribution,,contribution,noun,governance,formal,contribution asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
submit,,submit,noun,governance,formal,submit asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
moderator,,moderator,noun,governance,formal,moderator asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
language-council,,language council,noun,governance,formal,language-council asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
council,,council,noun,governance,formal,council asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
decision,,decision,noun,governance,formal,decision asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
voting,,voting,noun,governance,formal,voting asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
thumbs-down,,thumbs down,noun,governance,formal,thumbs-down asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
feedback,,feedback,noun,governance,formal,feedback asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
proposed,,proposed,noun,governance,formal,proposed asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
dataset,,dataset,noun,governance,formal,dataset asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
queue,,queue,noun,governance,formal,queue asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
reject,,reject,noun,governance,formal,reject asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
change-history,,change history,noun,governance,formal,change-history asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
audit,,audit,noun,governance,formal,audit asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
trusted,,trusted,noun,governance,formal,trusted asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
untrusted,,untrusted,noun,governance,formal,untrusted asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
school-review,,school review,noun,governance,formal,school-review asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
college-review,,college review,noun,governance,formal,college-review asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
expert-review,,expert review,noun,governance,formal,expert-review asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
company,,company,noun,governance,formal,company asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
policy,,policy,noun,governance,formal,policy asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
terms,,terms,noun,governance,formal,terms asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
conditions,,conditions,noun,governance,formal,conditions asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
moderation,,moderation,noun,governance,formal,moderation asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
abuse,,abuse,noun,governance,formal,abuse asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
spam,,spam,noun,governance,formal,spam asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
duplicate-check,,duplicate check,noun,governance,formal,duplicate-check asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
database-browser,,database browser,noun,governance,formal,database-browser asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
word-stats,,word stats,noun,governance,formal,word-stats asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
inventory,,inventory,noun,governance,formal,inventory asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
candidate,,candidate,noun,governance,formal,candidate asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
master-lexicon,,master lexicon,noun,governance,formal,master-lexicon asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
nongthang,,evening,noun,time,chat,nongthang asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
thabal,,moonlight,noun,time,chat,thabal asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
cheiraoba,,new year festival,noun,time,chat,cheiraoba asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
sajibu,,Manipuri month Sajibu,noun,time,chat,sajibu asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
kalen,,Manipuri month Kalen,noun,time,chat,kalen asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
inga,,Manipuri month Inga,noun,time,chat,inga asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
ingen,,Manipuri month Ingen,noun,time,chat,ingen asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
thawan,,Manipuri month Thawan,noun,time,chat,thawan asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
langban,,Manipuri month Langban,noun,time,chat,langban asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
mera,,Manipuri month Mera,noun,time,chat,mera asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
hiyangei,,Manipuri month Hiyangei,noun,time,chat,hiyangei asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
poireiton,,cultural reference,noun,time,chat,poireiton asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
wakching,,Manipuri month Wakching,noun,time,chat,wakching asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
phairen,,Manipuri month Phairen,noun,time,chat,phairen asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
lamta,,Manipuri month Lamta,noun,time,chat,lamta asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
week,,week,noun,time,chat,week asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
month,,month,noun,time,chat,month asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
year,,year,noun,time,chat,year asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
reminder,,reminder,noun,time,chat,reminder asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
alarm,,alarm,noun,time,chat,alarm asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
now,,now,noun,time,chat,now asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
later,,later,noun,time,chat,later asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
early,,early,noun,time,chat,early asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
late,,late,noun,time,chat,late asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
soon,,soon,noun,time,chat,soon asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
again,,again,noun,time,chat,again asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
adumak,,still/only that,word,daily-chat,chat,adumak asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
asum,,like this,word,daily-chat,chat,asum asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
asumna,,in this way,word,daily-chat,chat,asumna asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
adumna,,in that way,word,daily-chat,chat,adumna asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
kari amatang,,anything,phrase,daily-chat,chat,kari amatang asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
kadaigi,,from where,word,daily-chat,chat,kadaigi asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
kadairamda,,to where,word,daily-chat,chat,kadairamda asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
kayano,,how many,word,daily-chat,chat,kayano asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
kayamna,,how much/how,word,daily-chat,chat,kayamna asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
matam asi,,this time,phrase,daily-chat,chat,matam asi asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
matam adu,,that time,phrase,daily-chat,chat,matam adu asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
houdokpa,,to begin/start,word,daily-chat,chat,houdokpa asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
loiba,,to finish/end,word,daily-chat,chat,loiba asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
lourakpa,,to receive/take,word,daily-chat,chat,lourakpa asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
lousinba,,to accept,word,daily-chat,chat,lousinba asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
chatminnaba,,to go together,word,daily-chat,chat,chatminnaba asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
lakminnaba,,to come together,word,daily-chat,chat,lakminnaba asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
phamliba,,sitting,word,daily-chat,chat,phamliba asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
touduna,,after doing,word,daily-chat,chat,touduna asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
touringeida,,while doing,word,daily-chat,chat,touringeida asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
chatlingeida,,while going,word,daily-chat,chat,chatlingeida asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
laklingeida,,while coming,word,daily-chat,chat,laklingeida asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
saoba,,angry,word,daily-chat,chat,saoba asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
saoraba,,angry state,word,daily-chat,chat,saoraba asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
khongthang,,road/path,word,daily-chat,chat,khongthang asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
yumda,,at home,word,daily-chat,chat,yumda asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
yumdagi,,from home,word,daily-chat,chat,yumdagi asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
schoolda,,at school,word,daily-chat,chat,schoolda asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
imphal-da,,in Imphal,word,daily-chat,chat,imphal-da asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
office-da,,at office,word,daily-chat,chat,office-da asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
market-da,,at market,word,daily-chat,chat,market-da asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
hospital-da,,at hospital,word,daily-chat,chat,hospital-da asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
chat-ta,,in chat,word,daily-chat,chat,chat-ta asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
group-ta,,in group,word,daily-chat,chat,group-ta asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
message-ta,,in message,word,daily-chat,chat,message-ta asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
mapa,,mapa,noun,people,chat,mapa asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
mamao,,mamao,noun,people,chat,mamao asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
mamou,,mamou,noun,people,chat,mamou asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
mamu,,mamu,noun,people,chat,mamu asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
mami-ipa,,mami ipa,noun,people,chat,mami-ipa asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
imem,,imem,noun,people,chat,imem asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
ima-ipa,,ima ipa,noun,people,chat,ima-ipa asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
ipa-ima,,ipa ima,noun,people,chat,ipa-ima asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
machasing,,machasing,noun,people,chat,machasing asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
nanao,,nanao,noun,people,chat,nanao asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
nao,,nao,noun,people,chat,nao asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
nupising,,nupising,noun,people,chat,nupising asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
nupasing,,nupasing,noun,people,chat,nupasing asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
marupsing,,marupsing,noun,people,chat,marupsing asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
friends,,friends,noun,people,chat,friends asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
neighbor,,neighbor,noun,people,chat,neighbor asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
neighbour,,neighbour,noun,people,chat,neighbour asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
leikai-mayum,,leikai mayum,noun,people,chat,leikai-mayum asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
mayum,,mayum,noun,people,chat,mayum asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
relative,,relative,noun,people,chat,relative asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
cousin,,cousin,noun,people,chat,cousin asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
brother,,brother,noun,people,chat,brother asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
sister,,sister,noun,people,chat,sister asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
uncle,,uncle,noun,people,chat,uncle asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
aunty,,aunty,noun,people,chat,aunty asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
grandfather,,grandfather,noun,people,chat,grandfather asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
grandmother,,grandmother,noun,people,chat,grandmother asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
husband,,husband,noun,people,chat,husband asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
wife,,wife,noun,people,chat,wife asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
son,,son,noun,people,chat,son asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
daughter,,daughter,noun,people,chat,daughter asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
baby,,baby,noun,people,chat,baby asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
child,,child,noun,people,chat,child asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
children,,children,noun,people,chat,children asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
elder,,elder,noun,people,chat,elder asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
younger,,younger,noun,people,chat,younger asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
police,,police,noun,people,chat,police asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
