canonical,aliases,meaning,partOfSpeech,domain,level,example,sourceTag,reviewStatus
download touba,,to download,verb,daily-actions,chat,,build10-chat-governance-growth,needs_review
save touba,,to save,verb,daily-actions,chat,,build10-chat-governance-growth,needs_review
share touba,,to share,verb,daily-actions,chat,,build10-chat-governance-growth,needs_review
copy touba,,to copy,verb,daily-actions,chat,,build10-chat-governance-growth,needs_review
paste touba,,to paste,verb,daily-actions,chat,,build10-chat-governance-growth,needs_review
delete touba,,to delete,verb,daily-actions,chat,,build10-chat-governance-growth,needs_review
edit touba,,to edit,verb,daily-actions,chat,,build10-chat-governance-growth,needs_review
approve touba,,to approve,verb,daily-actions,chat,,build10-chat-governance-growth,needs_review
reject touba,,to reject,verb,daily-actions,chat,,build10-chat-governance-growth,needs_review
review touba,,to review,verb,daily-actions,chat,,build10-chat-governance-growth,needs_review
login touba,,to log in,verb,daily-actions,chat,,build10-chat-governance-growth,needs_review
signup touba,,to sign up,verb,daily-actions,chat,,build10-chat-governance-growth,needs_review
search touba,,to search,verb,daily-actions,chat,,build10-chat-governance-growth,needs_review
machaba,,small,adjective,descriptions,chat,,build10-chat-governance-growth,needs_review
phaba,,good,adjective,descriptions,chat,,build10-chat-governance-growth,needs_review
yamna phajei,,very beautiful / very good,adjective,descriptions,chat,,build10-chat-governance-growth,needs_review
matam chana,,on time,adjective,descriptions,chat,,build10-chat-governance-growth,needs_review
thuna,,quickly,adjective,descriptions,chat,,build10-chat-governance-growth,needs_review
slow oina,,slowly,adjective,descriptions,chat,,build10-chat-governance-growth,needs_review
mapung phaba,,complete,adjective,descriptions,chat,,build10-chat-governance-growth,needs_review
mapung oiba,,full / complete,adjective,descriptions,chat,,build10-chat-governance-growth,needs_review
chetna,,firmly,adjective,descriptions,chat,,build10-chat-governance-growth,needs_review
achumba,,true / correct,adjective,descriptions,chat,,build10-chat-governance-growth,needs_review
aranba,,wrong,adjective,descriptions,chat,,build10-chat-governance-growth,needs_review
maruoiba,,important,adjective,descriptions,chat,,build10-chat-governance-growth,needs_review
henna,,more,adjective,descriptions,chat,,build10-chat-governance-growth,needs_review
khudingmak,,all / every,adjective,descriptions,chat,,build10-chat-governance-growth,needs_review
khara,,some / little,adjective,descriptions,chat,,build10-chat-governance-growth,needs_review
yam,,many / much,adjective,descriptions,chat,,build10-chat-governance-growth,needs_review
kanna,,strongly,adjective,descriptions,chat,,build10-chat-governance-growth,needs_review
nungaijaba,,pleasant,adjective,descriptions,chat,,build10-chat-governance-growth,needs_review
nungaitaba,,unhappy,adjective,descriptions,chat,,build10-chat-governance-growth,needs_review
message,,message,loanword,digital-chat,chat,,build10-chat-governance-growth,needs_review
group,,group,loanword,digital-chat,chat,,build10-chat-governance-growth,needs_review
reply,,reply,loanword,digital-chat,chat,,build10-chat-governance-growth,needs_review
status,,status,loanword,digital-chat,chat,,build10-chat-governance-growth,needs_review
photo,,photo,loanword,digital-chat,chat,,build10-chat-governance-growth,needs_review
video,,video,loanword,digital-chat,chat,,build10-chat-governance-growth,needs_review
audio,,audio,loanword,digital-chat,chat,,build10-chat-governance-growth,needs_review
voice note,,voice note,loanword,digital-chat,chat,,build10-chat-governance-growth,needs_review
call,,call,loanword,digital-chat,chat,,build10-chat-governance-growth,needs_review
missed call,,missed call,loanword,digital-chat,chat,,build10-chat-governance-growth,needs_review
phone,,phone,loanword,digital-chat,chat,,build10-chat-governance-growth,needs_review
mobile,,mobile,loanword,digital-chat,chat,,build10-chat-governance-growth,needs_review
suggestion,,suggestion,loanword,digital-chat,chat,,build10-chat-governance-growth,needs_review
standard spelling,,standard spelling,loanword,digital-chat,chat,,build10-chat-governance-growth,needs_review
word,,word,loanword,digital-chat,chat,,build10-chat-governance-growth,needs_review
phrase,,phrase,loanword,digital-chat,chat,,build10-chat-governance-growth,needs_review
comment,,comment,loanword,digital-chat,chat,,build10-chat-governance-growth,needs_review
thumbs up,,thumbs up,loanword,digital-chat,chat,,build10-chat-governance-growth,needs_review
temporary word,,temporary word,loanword,digital-chat,chat,,build10-chat-governance-growth,needs_review
submitted word,,submitted word,loanword,digital-chat,chat,,build10-chat-governance-growth,needs_review
governance,,governance,loanword,digital-chat,chat,,build10-chat-governance-growth,needs_review
result,,result,word,school-writing,formal,,build10-chat-governance-growth,needs_review
history,,history,word,school-writing,formal,,build10-chat-governance-growth,needs_review
science,,science,word,school-writing,formal,,build10-chat-governance-growth,needs_review
language,,language,word,school-writing,formal,,build10-chat-governance-growth,needs_review
grammar,,grammar,word,school-writing,formal,,build10-chat-governance-growth,needs_review
essay,,essay,word,school-writing,formal,,build10-chat-governance-growth,needs_review
introduction,,introduction,word,school-writing,formal,,build10-chat-governance-growth,needs_review
conclusion,,conclusion,word,school-writing,formal,,build10-chat-governance-growth,needs_review
heading,,heading,word,school-writing,formal,,build10-chat-governance-growth,needs_review
subheading,,subheading,word,school-writing,formal,,build10-chat-governance-growth,needs_review
explain touba,,to explain,word,school-writing,formal,,build10-chat-governance-growth,needs_review
translate touba,,to translate,word,school-writing,formal,,build10-chat-governance-growth,needs_review
normalise touba,,to normalise,word,school-writing,formal,,build10-chat-governance-growth,needs_review
standardise touba,,to standardise,word,school-writing,formal,,build10-chat-governance-growth,needs_review
publish touba,,to publish,word,school-writing,formal,,build10-chat-governance-growth,needs_review
print touba,,to print,word,school-writing,formal,,build10-chat-governance-growth,needs_review
tha,,month,time,time-schedule,chat,,build10-chat-governance-growth,needs_review
chayol,,week,time,time-schedule,chat,,build10-chat-governance-growth,needs_review
second,,second,time,time-schedule,chat,,build10-chat-governance-growth,needs_review
ayuk numit,,morning,time,time-schedule,chat,,build10-chat-governance-growth,needs_review
nongmaijing,,afternoon / noon,time,time-schedule,chat,,build10-chat-governance-growth,needs_review
saturday,,Saturday,time,time-schedule,chat,,build10-chat-governance-growth,needs_review
sunday,,Sunday,time,time-schedule,chat,,build10-chat-governance-growth,needs_review
monday,,Monday,time,time-schedule,chat,,build10-chat-governance-growth,needs_review
tuesday,,Tuesday,time,time-schedule,chat,,build10-chat-governance-growth,needs_review
wednesday,,Wednesday,time,time-schedule,chat,,build10-chat-governance-growth,needs_review
thursday,,Thursday,time,time-schedule,chat,,build10-chat-governance-growth,needs_review
friday,,Friday,time,time-schedule,chat,,build10-chat-governance-growth,needs_review
date,,date,time,time-schedule,chat,,build10-chat-governance-growth,needs_review
calendar,,calendar,time,time-schedule,chat,,build10-chat-governance-growth,needs_review
meeting,,meeting,time,time-schedule,chat,,build10-chat-governance-growth,needs_review
appointment,,appointment,time,time-schedule,chat,,build10-chat-governance-growth,needs_review
deadline,,deadline,time,time-schedule,chat,,build10-chat-governance-growth,needs_review
schedule,,schedule,time,time-schedule,chat,,build10-chat-governance-growth,needs_review
kari toure,,what are you doing?,phrase,phrases,chat,,build10-chat-governance-growth,needs_review
nang kadaida leiri,,where are you?,phrase,phrases,chat,,build10-chat-governance-growth,needs_review
nang lakpa ngamgadra,,can you come?,phrase,phrases,chat,,build10-chat-governance-growth,needs_review
eina lakli,,I am coming,phrase,phrases,chat,,build10-chat-governance-growth,needs_review
eina chatli,,I am going,phrase,phrases,chat,,build10-chat-governance-growth,needs_review
eina thuna lak-i,,I will come quickly,phrase,phrases,chat,,build10-chat-governance-growth,needs_review
matam kayada lakpa,,what time to come,phrase,phrases,chat,,build10-chat-governance-growth,needs_review
meeting adu kayada,,what time is the meeting,phrase,phrases,chat,,build10-chat-governance-growth,needs_review
ngasi kari thouram leire,,what programme is there today,phrase,phrases,chat,,build10-chat-governance-growth,needs_review
eigi ming,,my name,phrase,phrases,chat,,build10-chat-governance-growth,needs_review
nanggi ming kari kouwe,,what is your name,phrase,phrases,chat,,build10-chat-governance-growth,needs_review
eina phajare,,I am fine,phrase,phrases,chat,,build10-chat-governance-growth,needs_review
yamna thagatchari,,thank you very much,phrase,phrases,chat,,build10-chat-governance-growth,needs_review
kari khangba pammi,,what do you want to know,phrase,phrases,chat,,build10-chat-governance-growth,needs_review
eina khangde,,I do not know,phrase,phrases,chat,,build10-chat-governance-growth,needs_review
eina khang-i,,I know,phrase,phrases,chat,,build10-chat-governance-growth,needs_review
adom kari touri,,what are you doing respectful,phrase,phrases,chat,,build10-chat-governance-growth,needs_review
eikhoi chatminnasi,,let us go together,phrase,phrases,chat,,build10-chat-governance-growth,needs_review
eikhoi wari sanminnasi,,let us discuss,phrase,phrases,chat,,build10-chat-governance-growth,needs_review
mayekama sijinnou,,use MayekAma,phrase,phrases,chat,,build10-chat-governance-growth,needs_review
standard spelling asi sijinnou,,use this standard spelling,phrase,phrases,chat,,build10-chat-governance-growth,needs_review
temporary word submit tou,,submit temporary word,phrase,phrases,chat,,build10-chat-governance-growth,needs_review
admin-na review tougani,,admin will review,phrase,phrases,chat,,build10-chat-governance-growth,needs_review
